year,state,state_code,county,subdivision_type,candidate,party,votes,percentage,total_votes,winning_party
2000,Arkansas,AR,Cleburne,County,Other,Other,357,3.5,10207,Republican
2000,Arkansas,AR,Cleveland,County,George W. Bush,Republican,1678,52.75,3181,Republican
2000,Arkansas,AR,Cleveland,County,Al Gore,Democratic,1414,44.45,3181,Republican
2000,Arkansas,AR,Cleveland,County,Other,Other,89,2.8,3181,Republican
2000,Arkansas,AR,Columbia,County,George W. Bush,Republican,5018,53.92,9307,Republican
2000,Arkansas,AR,Columbia,County,Al Gore,Democratic,4003,43.01,9307,Republican
2000,Arkansas,AR,Columbia,County,Other,Other,286,3.07,9307,Republican
2000,Arkansas,AR,Conway,County,George W. Bush,Republican,3545,49.0,7234,Republican
2000,Arkansas,AR,Conway,County,Al Gore,Democratic,3496,48.33,7234,Republican
2000,Arkansas,AR,Conway,County,Other,Other,193,2.67,7234,Republican
2000,Arkansas,AR,Craighead,County,George W. Bush,Republican,12158,48.33,25157,Democratic
2000,Arkansas,AR,Craighead,County,Al Gore,Democratic,12376,49.2,25157,Democratic
2000,Arkansas,AR,Craighead,County,Other,Other,623,2.48,25157,Democratic
2000,Arkansas,AR,Crawford,County,George W. Bush,Republican,10804,61.3,17625,Republican
2000,Arkansas,AR,Crawford,County,Al Gore,Democratic,6288,35.68,17625,Republican
